# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: wbnew
# Creation date: 08/31/2021 20:51:22
# 
# 08/31/2021 20:51:22
# The parameters defined in the project are:
# ,P1 - R [mm],P2 - h [mm],P3 - t [mm],P4 - r [mm],P5 - P [MPa],P8 - t [mm],P9 - r [mm],P7 - h [mm],P6 - R [mm],P10 - Material,P13 - Hoop Stress ext [MPa],P12 - P [MPa],P14 - Longitudinal Stress ext [MPa],P15 - Radial Stress ext [MPa],P16 - Hoop Stress int [MPa],P17 - Longitudinal Stress int [MPa],P18 - Radial Stress int [MPa],P19 - Hoop Strain ext [mm mm^-1],P20 - Hoop Strain int [mm mm^-1],P21 - Hoop Stress avg [kg mm^-1 s^-2],P22 - Longitudinal Stress avg [kg mm^-1 s^-2],P23 - Radial Stress max [MPa],P24 - Hoop Strain avg
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P8,P9,P7,P6,P10,P13,P12,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
DP 0,120,200,5.1,10,2,5.1,10,200,120,Structural Steel,44.009170532226563,2,22.112068176269531,-0.00560684222728014,46.262395222981773,22.070151646931965,-2.0313742558161416,0.00018688615818973631,0.00020125381221684316,45135.782877604172,22091.109911600746,-2.0313742558161416,0.00019406998520328972
DP 1,130,220,5.2,10,3,5.2,10,220,130,Structural Steel,70.245967864990234,3,35.402006149291992,0.0055321510881185532,73.9978256225586,35.462392807006836,-3.0711380243301392,0.0002981185243697837,0.00032140222901944071,72121.896743774414,35432.199478149414,-3.0711380243301392,0.00030976037669461221
DP 2,140,240,5.3,10,4,5.3,10,240,140,Structural Steel,99.499565124511719,4,49.913291931152344,-0.055684136692434549,104.0860595703125,50.029571533203125,-4.0102028846740723,0.00042271141622525948,0.00045140122529119253,101792.81234741211,49971.431732177734,-4.0102028846740723,0.000437056320758226
DP 3,150,260,5.4,10,5,5.4,10,260,150,Structural Steel,131.27748107910156,5,65.831666946411133,-0.028437870787456632,136.85899353027344,65.939085006713867,-5.1249414682388306,0.000557682549697347,0.00059307373885530978,134068.2373046875,65885.3759765625,-5.1249414682388306,0.00057537814427632838
DP 4,160,280,5.5,10,6,5.5,10,280,160,Structural Steel,165.36514663696289,6,82.80030632019043,-0.0056954399187816307,172.02288055419922,82.952592849731445,-6.108738899230957,0.00070263382804114372,0.00074484864308033139,168694.01359558105,82876.449584960938,-6.108738899230957,0.00072374123556073755
DP 4,160,280,5.5,10,6,5.5,10,280,160,Structural Steel,165.36514663696289,6,82.80030632019043,-0.0056954399187816307,172.02288055419922,82.952592849731445,-6.108738899230957,0.00070263382804114372,0.00074484864308033139,168694.01359558105,82876.449584960938,-6.108738899230957,0.00072374123556073755
# 
# A non parametric change occurred and invalidated design point results.
# 08/31/2021 21:10:14
# 
# 
# 08/31/2021 21:12:41
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - R [mm],P2 - h [mm],P3 - t [mm],P4 - r [mm],P5 - P [MPa],P8 - t [mm],P9 - r [mm],P7 - h [mm],P6 - R [mm],P10 - Material,P13 - Hoop Stress ext [MPa],P12 - P [MPa],P14 - Longitudinal Stress ext [MPa],P15 - Radial Stress ext [MPa],P16 - Hoop Stress int [MPa],P17 - Longitudinal Stress int [MPa],P18 - Radial Stress int [MPa],P19 - Hoop Strain ext [mm mm^-1],P20 - Hoop Strain int [mm mm^-1],P21 - Hoop Stress avg [kg mm^-1 s^-2],P22 - Longitudinal Stress avg [kg mm^-1 s^-2],P23 - Radial Stress max [MPa],P24 - Hoop Strain avg,P25 - Element Size [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P2,P3,P4,P5,P8,P9,P7,P6,P10,P13,P12,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25
DP 0,120,200,5.1,10,2,5.1,10,200,120,Structural Steel,44.03971004486084,2,22.117445945739746,-0.00894904910819605,46.254183769226074,22.068520069122314,-2.0537866353988647,0.00018703580280998722,0.00020124881484662183,45146.946907043457,22092.98300743103,-2.0537866353988647,0.00019414230882830452,10
DP 1,130,220,5.2,10,3,5.2,10,220,130,Structural Steel,70.525335311889648,3,35.2752103805542,-0.01205257949186489,73.700929641723633,35.27894115447998,-3.0697855949401855,0.00029973192431498319,0.00032019091304391623,72113.132476806641,35277.07576751709,-3.0697855949401855,0.00030996141867944971,10
DP 2,140,240,5.3,10,4,5.3,10,240,140,Structural Steel,99.666857401529953,4,49.7621955871582,-0.038367503012220062,103.85389709472656,49.851139068603516,-4.0046286582946777,0.00042374854092486203,0.00045049970503896475,101760.37724812826,49806.667327880859,-4.0046286582946777,0.00043712412298191339,10
DP 3,150,260,5.4,10,5,5.4,10,260,150,Structural Steel,131.43511962890625,5,65.6807918548584,-0.020435232610907406,136.61730575561523,65.757740020751953,-5.0966569185256958,0.00055868506024125963,0.00059209488972555846,134026.21269226074,65719.265937805176,-5.0966569185256958,0.000575389974983409,10
DP 4,160,280,5.5,10,6,5.5,10,280,160,Structural Steel,165.69315338134766,6,82.821218490600586,-0.011152735445648432,171.66004180908203,82.857107162475586,-6.1038973331451416,0.00070425067679025233,0.00074317039980087429,168676.59759521484,82839.162826538086,-6.1038973331451416,0.00072371053829556331,10
